dispatch_location_name,fwa_name,distance,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_01_C                       AK_01_C_FWA_001,25.58552763,,
AFS Galena SMJ base,AK_AK_001AK_01_C                       AK_01_C_FWA_001,248.8961733,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_01_C                       AK_01_C_FWA_001,20.67491688,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_01_C                       AK_01_C_FWA_001,223.7989047,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_01_F                       AK_01_F_FWA_001,101.2919533,,
AFS Galena SMJ base,AK_AK_001AK_01_F                       AK_01_F_FWA_001,375.8461834,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_01_F                       AK_01_F_FWA_001,162.6419726,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_01_F                       AK_01_F_FWA_001,359.1728597,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_01_L                       AK_01_L_FWA_001,39.48920287,,
AFS Galena SMJ base,AK_AK_001AK_01_L                       AK_01_L_FWA_001,314.0482026,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_01_L                       AK_01_L_FWA_001,93.49545591,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_01_L                       AK_01_L_FWA_001,293.2668153,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_02_C                       AK_02_C_FWA_001,264.116845,,
AFS Galena SMJ base,AK_AK_001AK_02_C                       AK_02_C_FWA_001,9.359302764,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_02_C                       AK_02_C_FWA_001,246.384939,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_02_C                       AK_02_C_FWA_001,31.4834193,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_02_F                       AK_02_F_FWA_001,119.3233579,,
AFS Galena SMJ base,AK_AK_001AK_02_F                       AK_02_F_FWA_001,154.8986869,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_02_F                       AK_02_F_FWA_001,84.24682674,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_02_F                       AK_02_F_FWA_001,123.6006815,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_02_L                       AK_02_L_FWA_001E,175.8972267,,
AFS Galena SMJ base,AK_AK_001AK_02_L                       AK_02_L_FWA_001E,98.08330745,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_02_L                       AK_02_L_FWA_001E,147.5870134,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_02_L                       AK_02_L_FWA_001E,63.05145246,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_02_L                       AK_02_L_FWA_001W,354.2802784,,
AFS Galena SMJ base,AK_AK_001AK_02_L                       AK_02_L_FWA_001W,81.48138775,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_02_L                       AK_02_L_FWA_001W,347.396937,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_02_L                       AK_02_L_FWA_001W,128.2498659,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_03_C                       AK_03_C_FWA_001,272.3230929,,
AFS Galena SMJ base,AK_AK_001AK_03_C                       AK_03_C_FWA_001,1.098196039,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_03_C                       AK_03_C_FWA_001,255.5769644,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_03_C                       AK_03_C_FWA_001,40.28438534,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_03_F                       AK_03_F_FWA_001a,423.3070649,,
AFS Galena SMJ base,AK_AK_001AK_03_F                       AK_03_F_FWA_001a,151.1380461,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_03_F                       AK_03_F_FWA_001a,424.7567424,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_03_F                       AK_03_F_FWA_001a,202.4351741,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_03_F                       AK_03_F_FWA_001b,276.0824383,,
AFS Galena SMJ base,AK_AK_001AK_03_F                       AK_03_F_FWA_001b,2.686733143,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_03_F                       AK_03_F_FWA_001b,259.7880067,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_03_F                       AK_03_F_FWA_001b,44.31659179,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_03_F                       AK_03_F_FWA_001c,516.8980983,,
AFS Galena SMJ base,AK_AK_001AK_03_F                       AK_03_F_FWA_001c,245.7390042,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_03_F                       AK_03_F_FWA_001c,529.6877708,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_03_F                       AK_03_F_FWA_001c,303.1667873,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_03_F                       AK_03_F_FWA_001d,442.4758952,,
AFS Galena SMJ base,AK_AK_001AK_03_F                       AK_03_F_FWA_001d,170.4990501,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_03_F                       AK_03_F_FWA_001d,446.2441695,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_03_F                       AK_03_F_FWA_001d,223.0526789,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_03_L                       AK_03_L_FWA_001,364.1480612,,
AFS Galena SMJ base,AK_AK_001AK_03_L                       AK_03_L_FWA_001,91.43327515,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_03_L                       AK_03_L_FWA_001,358.4544563,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_03_L                       AK_03_L_FWA_001,138.849551,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_03_M                       AK_03_M_FWA_001,482.2913611,,
AFS Galena SMJ base,AK_AK_001AK_03_M                       AK_03_M_FWA_001,210.737793,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_03_M                       AK_03_M_FWA_001,490.8820972,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_03_M                       AK_03_M_FWA_001,265.89986,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_04_C                       AK_04_C_FWA_001,69.83810107,,
AFS Galena SMJ base,AK_AK_001AK_04_C                       AK_04_C_FWA_001,344.4042844,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_04_C                       AK_04_C_FWA_001,127.4520526,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_04_C                       AK_04_C_FWA_001,325.6390507,,
UYD helibase at FYU,AK_AK_001AK_04_C                       AK_04_C_FWA_001,1.09788427,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_04_F                       AK_04_F_FWA_001,60.59978764,,
AFS Galena SMJ base,AK_AK_001AK_04_F                       AK_04_F_FWA_001,335.1657295,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_04_F                       AK_04_F_FWA_001,117.1158478,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_04_F                       AK_04_F_FWA_001,315.7865387,,
UYD helibase at FYU,AK_AK_001AK_04_F                       AK_04_F_FWA_001,7.543612702,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_04_L                       AK_04_L_FWA_001,85.9490297,,
AFS Galena SMJ base,AK_AK_001AK_04_L                       AK_04_L_FWA_001,360.5115586,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_04_L                       AK_04_L_FWA_001,145.4769973,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_04_L                       AK_04_L_FWA_001,342.8175152,,
UYD helibase at FYU,AK_AK_001AK_04_L                       AK_04_L_FWA_001,16.16896086,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_04_M                       AK_04_M_FWA_001,65.33367331,,
AFS Galena SMJ base,AK_AK_001AK_04_M                       AK_04_M_FWA_001,339.8999517,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_04_M                       AK_04_M_FWA_001,122.4123466,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_04_M                       AK_04_M_FWA_001,320.8353383,,
UYD helibase at FYU,AK_AK_001AK_04_M                       AK_04_M_FWA_001,3.115596814,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_05_C                       AK_05_C_FWA_001,71.50783863,,
AFS Galena SMJ base,AK_AK_001AK_05_C                       AK_05_C_FWA_001,346.0738839,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_05_C                       AK_05_C_FWA_001,129.3201956,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_05_C                       AK_05_C_FWA_001,327.4196391,,
Tok Area State Forestry,AK_AK_001AK_05_C                       AK_05_C_FWA_001,67.20417596,,
Valdez-Copper River State at G,AK_AK_001AK_05_C                       AK_05_C_FWA_001,12.66308431,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_05_F                       AK_05_F_FWA_001,114.4421384,,
AFS Galena SMJ base,AK_AK_001AK_05_F                       AK_05_F_FWA_001,388.9855122,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_05_F                       AK_05_F_FWA_001,177.3532607,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_05_F                       AK_05_F_FWA_001,373.1874988,,
Tok Area State Forestry,AK_AK_001AK_05_F                       AK_05_F_FWA_001,21.83736883,,
Valdez-Copper River State at G,AK_AK_001AK_05_F                       AK_05_F_FWA_001,59.92407227,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_05_L                       AK_05_L_FWA_001,127.4390735,,
AFS Galena SMJ base,AK_AK_001AK_05_L                       AK_05_L_FWA_001,401.9683198,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_05_L                       AK_05_L_FWA_001,191.8926178,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_05_L                       AK_05_L_FWA_001,387.0358453,,
Tok Area State Forestry,AK_AK_001AK_05_L                       AK_05_L_FWA_001,8.100323702,,
Valdez-Copper River State at G,AK_AK_001AK_05_L                       AK_05_L_FWA_001,74.23257378,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_05_M                       AK_05_M_FWA_001,62.11729139,,
AFS Galena SMJ base,AK_AK_001AK_05_M                       AK_05_M_FWA_001,336.6833898,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_05_M                       AK_05_M_FWA_001,118.8137115,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_05_M                       AK_05_M_FWA_001,317.4050347,,
Tok Area State Forestry,AK_AK_001AK_05_M                       AK_05_M_FWA_001,77.12423639,,
Valdez-Copper River State at G,AK_AK_001AK_05_M                       AK_05_M_FWA_001,2.327407674,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_06_C                       AK_06_C_FWA_001,109.3569117,,
AFS Galena SMJ base,AK_AK_001AK_06_C                       AK_06_C_FWA_001,164.9010613,,
Homer State (KKS@Homer),AK_AK_001AK_06_C                       AK_06_C_FWA_001,7.824263735,,
Kenai Nat Wildlife Refuge @ So,AK_AK_001AK_06_C                       AK_06_C_FWA_001,9.015039772,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_06_C                       AK_06_C_FWA_001,73.08970546,,
Soldotna State (KKS@Soldotna,AK_AK_001AK_06_C                       AK_06_C_FWA_001,9.015039772,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_06_C                       AK_06_C_FWA_001,134.261478,,
USFS Kenai Lake Work Center at,AK_AK_001AK_06_C                       AK_06_C_FWA_001,66.3806919,,
VFD @ Homer,AK_AK_001AK_06_C                       AK_06_C_FWA_001,5.337093819,,
VFD @ Nikiski,AK_AK_001AK_06_C                       AK_06_C_FWA_001,0.691957549,,
VFD @ Soldotna (Funny River),AK_AK_001AK_06_C                       AK_06_C_FWA_001,9.015039772,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_06_F                       AK_06_F_FWA_001,93.26037999,,
AFS Galena SMJ base,AK_AK_001AK_06_F                       AK_06_F_FWA_001,181.0514367,,
Homer State (KKS@Homer),AK_AK_001AK_06_F                       AK_06_F_FWA_001,26.97052446,,
Kenai Nat Wildlife Refuge @ So,AK_AK_001AK_06_F                       AK_06_F_FWA_001,9.646336042,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_06_F                       AK_06_F_FWA_001,55.07095951,,
Soldotna State (KKS@Soldotna,AK_AK_001AK_06_F                       AK_06_F_FWA_001,9.646336042,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_06_F                       AK_06_F_FWA_001,151.4756718,,
USFS Kenai Lake Work Center at,AK_AK_001AK_06_F                       AK_06_F_FWA_001,47.67465577,,
VFD @ Homer,AK_AK_001AK_06_F                       AK_06_F_FWA_001,24.48120122,,
VFD @ Nikiski,AK_AK_001AK_06_F                       AK_06_F_FWA_001,19.26896975,,
VFD @ Soldotna (Funny River),AK_AK_001AK_06_F                       AK_06_F_FWA_001,9.646336042,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_06_L                       AK_06_L_FWA_001,83.46957778,,
AFS Galena SMJ base,AK_AK_001AK_06_L                       AK_06_L_FWA_001,190.8724633,,
Homer State (KKS@Homer),AK_AK_001AK_06_L                       AK_06_L_FWA_001,38.61509167,,
Kenai Nat Wildlife Refuge @ So,AK_AK_001AK_06_L                       AK_06_L_FWA_001,20.99613921,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_06_L                       AK_06_L_FWA_001,44.11144378,,
Soldotna State (KKS@Soldotna,AK_AK_001AK_06_L                       AK_06_L_FWA_001,20.99613921,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_06_L                       AK_06_L_FWA_001,161.9440284,,
USFS Kenai Lake Work Center at,AK_AK_001AK_06_L                       AK_06_L_FWA_001,36.29720298,,
VFD @ Homer,AK_AK_001AK_06_L                       AK_06_L_FWA_001,36.12447959,,
VFD @ Nikiski,AK_AK_001AK_06_L                       AK_06_L_FWA_001,30.56738051,,
VFD @ Soldotna (Funny River),AK_AK_001AK_06_L                       AK_06_L_FWA_001,20.99613921,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_06_M                       AK_06_M_FWA_001,102.4912629,,
AFS Galena SMJ base,AK_AK_001AK_06_M                       AK_06_M_FWA_001,171.7903078,,
Homer State (KKS@Homer),AK_AK_001AK_06_M                       AK_06_M_FWA_001,15.99102649,,
Kenai Nat Wildlife Refuge @ So,AK_AK_001AK_06_M                       AK_06_M_FWA_001,1.055137607,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_06_M                       AK_06_M_FWA_001,65.40405334,,
Soldotna State (KKS@Soldotna,AK_AK_001AK_06_M                       AK_06_M_FWA_001,1.055137607,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_06_M                       AK_06_M_FWA_001,141.6044109,,
USFS Kenai Lake Work Center at,AK_AK_001AK_06_M                       AK_06_M_FWA_001,58.40186198,,
VFD @ Homer,AK_AK_001AK_06_M                       AK_06_M_FWA_001,13.50293288,,
VFD @ Nikiski,AK_AK_001AK_06_M                       AK_06_M_FWA_001,8.615895531,,
VFD @ Soldotna (Funny River),AK_AK_001AK_06_M                       AK_06_M_FWA_001,1.055137607,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_07_C                       AK_07_C_FWA_001,144.2771214,,
AFS Galena SMJ base,AK_AK_001AK_07_C                       AK_07_C_FWA_001,129.8462747,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_07_C                       AK_07_C_FWA_001,112.1834971,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_07_C                       AK_07_C_FWA_001,96.90058009,,
VFD @ Kodiak,AK_AK_001AK_07_C                       AK_07_C_FWA_001,4.054476229,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_07_F                       AK_07_F_FWA_001,149.0852785,,
AFS Galena SMJ base,AK_AK_001AK_07_F                       AK_07_F_FWA_001,125.0176816,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_07_F                       AK_07_F_FWA_001,117.5666957,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_07_F                       AK_07_F_FWA_001,91.75464374,,
VFD @ Kodiak,AK_AK_001AK_07_F                       AK_07_F_FWA_001,10.08889155,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_07_L                       AK_07_L_FWA_001,175.8577081,,
AFS Galena SMJ base,AK_AK_001AK_07_L                       AK_07_L_FWA_001,98.12301709,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_07_L                       AK_07_L_FWA_001,147.5427637,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_07_L                       AK_07_L_FWA_001,63.09376821,,
VFD @ Kodiak,AK_AK_001AK_07_L                       AK_07_L_FWA_001,43.69480351,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001AK_07_M                       AK_07_M_FWA_001,178.3239319,,
AFS Galena SMJ base,AK_AK_001AK_07_M                       AK_07_M_FWA_001,95.64481273,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001AK_07_M                       AK_07_M_FWA_001,150.3042502,,
SWA at McG: SMJs + Airtankers,AK_AK_001AK_07_M                       AK_07_M_FWA_001,60.45293091,,
VFD @ Kodiak,AK_AK_001AK_07_M                       AK_07_M_FWA_001,46.79099009,,
USFS at Hoonah,AK_AK_001AK_08_C                       AK_08_C_FWA_001,11.18411534,,
USFS Juneau,AK_AK_001AK_08_C                       AK_08_C_FWA_001,41.39443935,,
USFS Ketchikan,AK_AK_001AK_08_C                       AK_08_C_FWA_001,159.6524978,,
USFS Thorne Bay,AK_AK_001AK_08_C                       AK_08_C_FWA_001,124.0438033,,
USFS Wrangle Ranger District,AK_AK_001AK_08_C                       AK_08_C_FWA_001,127.3390573,,
USFS at Hoonah,AK_AK_001AK_08_F                       AK_08_F_FWA_001,22.78011188,,
USFS Juneau,AK_AK_001AK_08_F                       AK_08_F_FWA_001,7.689125246,,
USFS Ketchikan,AK_AK_001AK_08_F                       AK_08_F_FWA_001,123.1204012,,
USFS Thorne Bay,AK_AK_001AK_08_F                       AK_08_F_FWA_001,87.82766752,,
USFS Wrangle Ranger District,AK_AK_001AK_08_F                       AK_08_F_FWA_001,91.85633322,,
USFS at Hoonah,AK_AK_001AK_08_L                       AK_08_L_FWA_001,30.98586083,,
USFS Juneau,AK_AK_001AK_08_L                       AK_08_L_FWA_001,0.454287463,,
USFS Ketchikan,AK_AK_001AK_08_L                       AK_08_L_FWA_001,114.2932585,,
USFS Thorne Bay,AK_AK_001AK_08_L                       AK_08_L_FWA_001,79.07709384,,
USFS Wrangle Ranger District,AK_AK_001AK_08_L                       AK_08_L_FWA_001,83.28291511,,
USFS at Hoonah,AK_AK_001AK_08_M                       AK_08_M_FWA_001,4.866374046,,
USFS Juneau,AK_AK_001AK_08_M                       AK_08_M_FWA_001,25.46648533,,
USFS Ketchikan,AK_AK_001AK_08_M                       AK_08_M_FWA_001,142.3893344,,
USFS Thorne Bay,AK_AK_001AK_08_M                       AK_08_M_FWA_001,106.9297606,,
USFS Wrangle Ranger District,AK_AK_001AK_08_M                       AK_08_M_FWA_001,110.5716346,,
USFS at Hoonah,AK_AK_001AK_09_C                       AK_09_C_FWA_001,7.581329743,,
USFS Juneau,AK_AK_001AK_09_C                       AK_09_C_FWA_001,22.77222456,,
USFS Ketchikan,AK_AK_001AK_09_C                       AK_09_C_FWA_001,139.4691079,,
