DISPATCH LOCATION NAME,FPU,CALLBACK DELAY,LATITUDE,LONGITUDE,,
AFS at Ft Wainwright Helibase,AK_AK_001,120,64.8422,-147.5928,,
AFS at Ft Wainwright SMJ + A/T,AK_AK_001,120,64.84221,-147.5928,,
AFS Galena Helibase,AK_AK_001,120,64.7333,-156.9275,,
AFS Galena SMJ base,AK_AK_001,120,64.7332,-156.9275,,
"Delta Area Forestry: engines,",AK_AK_001,120,64.0515,-145.7245,,
Denali National Park at Park H,AK_AK_001,120,63.7224,-148.9623,,
F&WS Tetlin Refuge @ Tok: WFU,AK_AK_001,120,63.316,-142.9834,,
Homer State (KKS@Homer),AK_AK_001,120,59.642,-151.548,,
Kenai Nat Wildlife Refuge @ So,AK_AK_001,120,60.4877,-151.0582,,
MSS Palmer Airbase SMT+ A/T,AK_AK_001,120,61.5941,-149.0957,,
Soldotna State (KKS@Soldotna,AK_AK_001,120,60.4877,-151.0582,,
South East Area Forestry at Ha,AK_AK_001,120,59.236,-135.445,,
"State Fairbanks Area: engines,",AK_AK_001,120,64.8333,-147.8167,,
State of Alaska MatSu (MSS@Pal,AK_AK_001,120,61.594,-149.095,,
State SWA Helibase and Recon b,AK_AK_001,120,62.9496,-155.5936,,
SWA at McG: SMJs + Airtankers,AK_AK_001,120,62.9528,-155.6056,,
Tok Area State Forestry,AK_AK_001,120,63.3161,-142.9834,,
USFS at Hoonah,AK_AK_001,120,58.0909,-135.4097,,
USFS Juneau,AK_AK_001,120,58.36175,-134.57235,,
USFS Kenai Lake Work Center at,AK_AK_001,120,60.4075,-149.3745,,
USFS Ketchikan,AK_AK_001,120,55.342,-131.646,,
USFS Thorne Bay,AK_AK_001,120,55.689,-132.526,,
USFS Wrangle Ranger District,AK_AK_001,120,56.4752,-132.3736,,
UYD helibase at FYU,AK_AK_001,120,66.5715,-145.2505,,
Valdez-Copper River State at G,AK_AK_001,120,62.109,-145.546,,
VFD @ Anchorage (Muni),AK_AK_001,120,61.219,-149.846,,
VFD @ Clear,AK_AK_001,120,64.29,-149.161,,
VFD @ Homer,AK_AK_001,120,59.64583333,-151.4766667,,
VFD @ Houston,AK_AK_001,120,61.635,-149.846,,
VFD @ Kodiak,AK_AK_001,120,57.7908,-152.4051,,
VFD @ Nikiski,AK_AK_001,120,60.634,-151.344,,
VFD @ Northstar,AK_AK_001,120,64.819,-147.541,,
VFD @ Soldotna (Funny River),AK_AK_001,120,60.4877,-151.0582,,
VFD TriValley @ Healy,AK_AK_001,120,63.845,-148.992,,
BTE Butte Valley FD,CA_CA_001,35,41.8263,-122.0014,,
CCL Salmon River,CA_CA_001,30,41.2623,-123.3287,,
DOR Dorris FD,CA_CA_001,25,41.9638,-121.917,,
ETN Etna FD,CA_CA_001,25,41.5683,-122.893,,
FTJ Ft Jones FD,CA_CA_001,25,41.606,-122.8428,,
HAP Happy Camp FD,CA_CA_001,35,41.7945,-123.3775,,
HIA Hoopa,CA_CA_001,20,41.049,-123.6743,,
HOR Hornbrook FD,CA_CA_001,25,41.9115,-122.6312,,
HUU Alder CC,CA_CA_001,25,41.5024,-124.0604,,
HUU Alderpoint,CA_CA_001,25,40.1891,-123.6025,,
HUU Bridgeville,CA_CA_001,25,40.4782,-123.8058,,
HUU Crescent City,CA_CA_001,25,41.7654,-124.2048,,
HUU Eel River CC,CA_CA_001,25,40.143,-123.8165,,
HUU Elk Camp,CA_CA_001,25,41.2288,-123.9547,,
HUU Fortuna,CA_CA_001,25,40.5993,-124.1494,,
HUU Garberville,CA_CA_001,25,40.0998,-123.796,,
HUU High Rock CC,CA_CA_001,25,40.3791,-123.9199,,
HUU Klamath,CA_CA_001,30,41.5325,-124.0035,,
HUU Kneeland HB,CA_CA_001,20,40.715,-123.9211,,
HUU Mattole,CA_CA_001,25,40.2374,-124.1295,,
HUU Rohnerville AAB,CA_CA_001,20,40.5355,-124.1147,,
HUU Thorn,CA_CA_001,25,40.0519,-123.9689,,
HUU Trinidad,CA_CA_001,25,41.0794,-124.1471,,
HUU Weott,CA_CA_001,25,40.3197,-123.9207,,
KLR Beaver Creek Sta,CA_CA_001,20,41.8267,-122.9792,,
KLR Horse Creek Sta,CA_CA_001,20,41.87,-122.8175,,
KNF Callahan,CA_CA_001,20,41.30166667,-122.7866667,,
KNF Grass Lake,CA_CA_001,20,41.63166667,-122.2,,
KNF Happy Camp Helibase,CA_CA_001,20,41.78,-123.4,,
KNF Happy Camp Lower,CA_CA_001,20,41.79333333,-123.3766667,,
KNF Mt Hebron,CA_CA_001,20,41.78666667,-122.0066667,,
KNF Oak Knoll,CA_CA_001,20,41.85,-122.8366667,,
KNF Petersburg,CA_CA_001,20,41.15666667,-123.0916667,,
KNF Sawyers Bar,CA_CA_001,20,41.30333333,-123.1333333,,
KNF Scott Bar,CA_CA_001,20,41.735,-123,,
KNF Scott River - Bridge WC,CA_CA_001,20,41.39,-123.06,,
KNF Scott Valley Helibase,CA_CA_001,20,41.15,-123.09,,
KNF Seiad Valley,CA_CA_001,20,41.84166667,-123.1933333,,
KTA Somes Bar,CA_CA_001,20,41.3812,-123.4873,,
MEU Chamberlin Creek CC,CA_CA_001,25,39.3585,-123.5595,,
MEU Covelo,CA_CA_001,25,39.8095,-123.2389,,
MEU Howard Forest,CA_CA_001,25,39.3723,-123.3265,,
MEU Howard Forest HB,CA_CA_001,25,39.307,-123.3295,,
MEU Laytonville,CA_CA_001,25,39.7022,-123.4858,,
MEU Leggett,CA_CA_001,25,39.8763,-123.7271,,
MEU Parlin Fork CC,CA_CA_001,25,39.363,-123.6525,,
MEU Ukiah AAB,CA_CA_001,25,39.1308,-123.2054,,
NOD King Range,CA_CA_001,20,40.05627778,-123.9741667,,
RWP Hiouchi,CA_CA_001,20,41.79472222,-124.0756111,,
RWP Wolf Creek,CA_CA_001,20,41.35625,-124.03825,,
SEI Seiad Valley FD,CA_CA_001,20,41.5883,-123.209,,
SKU Deadwood CC,CA_CA_001,20,41.6717,-122.8128,,
SKU Fort Jones,CA_CA_001,20,41.6073,-122.8479,,
SKU Hornbrook,CA_CA_001,20,41.9086,-122.5649,,
SKU MacDoel,CA_CA_001,20,41.8301,-122.0054,,
SKU Weed,CA_CA_001,20,41.4294,-122.3911,,
SKU Yreka,CA_CA_001,20,41.7062,-122.6416,,
SRF Gasquet,CA_CA_001,20,41.845,-123.9630556,,
SRF Mad River,CA_CA_001,20,40.465,-123.53,,
SRF Oak Bottom,CA_CA_001,20,41.3044,-123.4549,,
SRF Orleans,CA_CA_001,20,41.3044,-123.5357,,
SRF Ruth,CA_CA_001,20,40.32611111,-123.3883333,,
SRF Salyer,CA_CA_001,20,40.88861111,-123.5836111,,
SRF Ti Bar,CA_CA_001,20,41.5259,-123.5231,,
SRF Willow Creek,CA_CA_001,20,40.94666667,-123.6355556,,
SRF Zenia,CA_CA_001,20,40.20555556,-123.4597222,,
SVF French Creek Sta,CA_CA_001,20,41.8445,-122.8598,,
SVF Scott River Sta,CA_CA_001,20,41.6333,-122.9403,,
TEN Tennant FD,CA_CA_001,20,41.4248,-121.9516,,
YIA Tulley Creek,CA_CA_001,20,41.22049722,-123.7717472,,
YIA Wautec,CA_CA_001,20,41.35133056,-123.8733861,,
YRE Yreka FD,CA_CA_001,20,41.7322,-122.6383,,
Alturas,CA_CA_002,0,41.4945,-120.5378,,
Bieber,CA_CA_002,0,41.1177,-121.1336,,
Bogard,CA_CA_002,30,40.59141,-121.0886,,
Boulder Cr E22,CA_CA_002,45,40.1983,-120.6137,,
"Brush Cr C3, D3,E33,E34",CA_CA_002,30,39.6896,-121.3401,,
Burney,CA_CA_002,0,40.9067,-121.6229,,
Butte Meadows,CA_CA_002,45,40.07792,-121.5599,,
Centerville Work Center,CA_CA_002,30,41.4464,-120.6051,,
Challenge E31,CA_CA_002,30,39.487,-121.2235,,
Chester,CA_CA_002,30,40.29011,-121.2438,,
"Doyle PNF D1, E15",CA_CA_002,30,40.0265,-120.1018,,
Eagle Lake,CA_CA_002,0,40.5471,-120.7955,,
Fall River Mills,CA_CA_002,30,41.00732,-121.4323,,
"Frenchman E13,E16",CA_CA_002,45,39.8895,-120.1955,,
Gansner E25,CA_CA_002,30,40.0218,-121.2215,,
Grasshoper,CA_CA_002,0,40.7658,-120.7208,,
Greenville E20,CA_CA_002,30,40.1409,-120.9498,,
Grizzly E12,CA_CA_002,30,39.8276,-120.4221,,
Hat Creek Work Center,CA_CA_002,30,40.8031,-121.5129,,
Jarbo Gap,CA_CA_002,0,39.7403,-121.4955,,
Manzanita Lake,CA_CA_002,45,40.53911,-121.5731,,
Mineral,CA_CA_002,45,40.35192,-121.5663,,
Mineral HQ,CA_CA_002,30,40.3448,-121.6079,,
"Mohawk C1,E11",CA_CA_002,45,39.7841,-120.6296,,
Old Station,CA_CA_002,45,40.66872,-121.424,,
Paynes Creek,CA_CA_002,0,40.3333,-121.9229,,
"Quincy D2,C2,E23,E24",CA_CA_002,30,39.9773,-120.9395,,
Ravendale Sta,CA_CA_002,60,40.73133,-120.3158,,
Spalding,CA_CA_002,45,40.65,-120.78,,
Strawberry E32,CA_CA_002,45,39.5731,-121.1006,,
Suprise Sta,CA_CA_002,30,41.53299,-120.1853,,
Susanville HQ,CA_CA_002,0,40.4313,-120.6727,,
Susanville Sta,CA_CA_002,30,40.4212,-120.6502,,
West Valley Sta,CA_CA_002,30,41.2215,-120.4572,,
Westwood,CA_CA_002,0,40.3139,-121.0012,,
Adin fire sta,CA_CA_003,60,41.19333333,-120.945,,
Alturas Cal-Fire,CA_CA_003,30,41.4916,-120.5401,,
Alturas Rual,CA_CA_003,30,41.4867,-120.5453,,
Bieber Cal-Fire,CA_CA_003,30,41.1201,-121.138,,
Buck Creek Sta,CA_CA_003,60,41.87,-120.2883333,,
Canby fire sta,CA_CA_003,60,41.445,-120.8666667,,
Cedarville sta,CA_CA_003,45,41.5355,-120.1691667,,
Crowder sta,CA_CA_003,60,41.91333333,-120.755,,
Deer Springs,CA_CA_003,30,41.2918,-120.7769,,
"Devil's Garden Cal-fire",CA_CA_003,30,41.5237,-120.674,,
Dry Lake sta,CA_CA_003,60,41.68666667,-121.2586667,,
FWL Tule HQ,CA_CA_003,60,41.945,-121.5616667,,
Grasshopper,CA_CA_003,30,40.7658,-120.7208,,
Happy Camp Cal-Fire,CA_CA_003,30,41.4508,-121.1448,,
Intermountain,CA_CA_003,30,41.1234,-121.2246,,
Lava Beds HQ,CA_CA_003,60,41.77666667,-121.5385,,
Long Bell sta,CA_CA_003,60,41.43666667,-121.2583333,,
Macdoel Cal-Fire,CA_CA_003,30,41.8317,-122.0086,,
South Fork sta,CA_CA_003,45,41.48,-120.53,,
Ash Creek,CA_CA_004,60,41.2616,-121.9504,,
Baker - TGU,CA_CA_004,30,40.28,-122.4919,,
Bieber - LMU,CA_CA_004,30,41.1177,-121.1336,,
Big Bar,CA_CA_004,60,40.7406,-123.2509,,
Big Bend,CA_CA_004,60,41.0182,-121.9081,,
Big Bend - SHU,CA_CA_004,30,41.0182,-121.9081,,
Buckhorn - SHU,CA_CA_004,30,40.7013,-121.9243,,
Burnt Ranch,CA_CA_004,60,40.8102,-123.4775,,
Coffee Creek,CA_CA_004,60,41.0888,-122.7079,,
Cohasset - BTU,CA_CA_004,30,39.9254,-121.7241,,
Deadwood - SKU,CA_CA_004,60,41.6758,-122.8251,,
Diddy Wells - SHU,CA_CA_004,30,41.0145,-121.9034,,
Fawn Lodge - SHU,CA_CA_004,30,40.6735,-122.8344,,
Forest Glen,CA_CA_004,60,40.3736,-123.3041,,
Forest Ranch - BTU,CA_CA_004,30,39.9242,-121.6456,,
Harrison Gulch,CA_CA_004,60,40.363,-122.9547,,
Harts Mill - BTU,CA_CA_004,30,39.6198,-121.4373,,
Hayfork,CA_CA_004,60,40.5488,-123.1635,,
Hayfork - SHU,CA_CA_004,30,40.5483,-123.195,,
Hyampom  (Hyampom),CA_CA_004,60,40.6157,-123.4506,,
Hyampom (Hayfork),CA_CA_004,60,40.5488,-123.1635,,
Intermountain - LMU,CA_CA_004,60,41.1233,-121.2191,,
Ishi - TGU,CA_CA_004,60,40.3316,-121.9136,,
Ishi 2 - TGU,CA_CA_004,60,40.3316,-121.9136,,
Jarbo Gap - BTU,CA_CA_004,30,39.7335,-121.4956,,
Junction City,CA_CA_004,60,40.7281,-123.0561,,
Lakeshore,CA_CA_004,60,40.8696,-122.3894,,
Manton - TGU,CA_CA_004,30,40.4287,-121.82,,
McCloud,CA_CA_004,60,41.2523,-122.1279,,
McCloud - SKU,CA_CA_004,30,41.255,-122.125,,
Mountain Gate,CA_CA_004,60,40.702,-122.3379,,
Mt. Shasta,CA_CA_004,60,41.3145,-122.3152,,
Mule Creek,CA_CA_004,60,40.8617,-122.8169,,
Ono - SHU,CA_CA_004,30,40.4674,-122.6235,,
Oroville - BTU,CA_CA_004,30,39.5242,-121.5695,,
Paradise - BTU,CA_CA_004,30,39.7922,-121.5892,,
Paskenta - TGU,CA_CA_004,30,39.8792,-122.5624,,
Pondosa - SKU,CA_CA_004,30,41.1969,-121.6965,,
Red Bank - TGU,CA_CA_004,30,40.1077,-122.4553,,
Redding - SHU,CA_CA_004,30,40.5443,-122.3578,,
Redding 2- SHU,CA_CA_004,30,40.5443,-122.3578,,
Redding Airport - RDD,CA_CA_004,60,40.5163,-122.2966,,
Robinson Mill,CA_CA_004,60,39.4905,-121.3239,,
Shasta - SHU,CA_CA_004,30,40.5857,-122.4559,,
Shingletown - SHU,CA_CA_004,30,40.4966,-121.8507,,
Sims,CA_CA_004,60,41.0718,-122.3604,,
Sugar Pine - SHU,CA_CA_004,60,40.7447,-122.0979,,
Trinity Helibase,CA_CA_004,60,40.7884,-122.7998,,
Trinity River - SHU,CA_CA_004,60,40.7891,-122.7969,,
Trinity River 1 - SHU,CA_CA_004,60,40.7891,-122.7969,,
Weaverville,CA_CA_004,60,40.7343,-122.9431,,
Weaverville - SHU,CA_CA_004,30,40.733,-122.933,,
Weed - SKU,CA_CA_004,30,41.4317,-122.385,,
Whiskeytown,CA_CA_004,60,40.651,-122.5938,,
Whitmore - SHU,CA_CA_004,30,40.6289,-121.8855,,
Alder Springs FS,CA_CA_005,120,39.64867,-122.7232,,
Bear Valley HQ NPS,CA_CA_005,120,37.970955,-122.731189,,
Beaver Glade FS,CA_CA_005,120,39.93436,-122.9897,,
Belmont FFS,CA_CA_005,120,37.5121,-122.3432,,
Boggs Mtn HB,CA_CA_005,120,38.8366,-122.7122,,
Boonville FFS,CA_CA_005,120,39.9854,-123.354,,
Brooks FFS,CA_CA_005,120,38.7451,-122.1449,,
Castle Rock FFS,CA_CA_005,120,37.7145,-121.5221,,
Cazadero FFS,CA_CA_005,120,38.5244,-123.084,,
Chamberlain Crk CC,CA_CA_005,120,39.3585,-123.5595,,
Clear Lake Oaks FFS,CA_CA_005,120,39.0193,-122.7173,,
Cloverdale FFS,CA_CA_005,120,38.7866,-123.017,,
Cold Springs FS,CA_CA_005,120,39.96007,-122.7512,,
Contra Costa #81 FFS,CA_CA_005,120,38.0108,-121.8109,,
Courtland FFS,CA_CA_005,120,38.2159,-121.3045,,
Covelo FFS,CA_CA_005,120,39.8095,-123.2389,,
Covelo FS,CA_CA_005,120,39.8159,-123.2434,,
Delta CC,CA_CA_005,120,38.2204,-121.8519,,
Eel River FS,CA_CA_005,120,39.82751,-123.0726,,
Elk Crk FFS,CA_CA_005,120,39.588,-122.5584,,
Fort Bragg FFS,CA_CA_005,120,39.4524,-123.7984,,
Fort Cronkite NPS,CA_CA_005,120,37.83283,-122.53716,,
Glen Ellen FFS,CA_CA_005,120,38.3657,-122.5091,,
Gordon Valley FFS,CA_CA_005,120,38.3375,-122.1249,,
Hagmaier NPS,CA_CA_005,120,38.04452,-122.799921,,
Hamilton Field FS,CA_CA_005,120,38.0505,-122.5272,,
Healdsburg FFS,CA_CA_005,120,38.6565,-122.8813,,
Hilton FFS,CA_CA_005,120,38.5095,-122.9546,,
Hopland FFS,CA_CA_005,120,39.0001,-123.1119,,
Howard Forest FFS,CA_CA_005,120,39.307,-123.3295,,
Howard Forest HB,CA_CA_005,120,39.3723,-123.3265,,
Howard Mill,CA_CA_005,120,39.3016,-122.9344,,
Kelsey-Cobb FFS,CA_CA_005,120,38.9183,-122.7699,,
Konocti CC,CA_CA_005,120,38.9179,-122.7138,,
Las Posadas FFS,CA_CA_005,120,38.547,-122.4202,,
Laytonville FFS,CA_CA_005,120,39.7041,-122.4876,,
Leesville FFS,CA_CA_005,120,39.1799,-122.4382,,
Leggit FFS,CA_CA_005,120,39.8839,-122.7233,,
Log Springs FS,CA_CA_005,120,39.82492,-122.7877,,
Middletown FFS,CA_CA_005,120,38.7456,-122.6217,,
Napa FFS,CA_CA_005,120,38.3375,-122.2533,,
Newark FD FFS,CA_CA_005,120,32.5344,-122.0294,,
Occidental FFS,CA_CA_005,120,38.4223,-122.9356,,
Parlin Fork CC,CA_CA_005,120,39.363,-123.6525,,
Paskenta FFS,CA_CA_005,120,39.8854,-122.555,,
Paskenta FS,CA_CA_005,120,39.88332,-122.5429,,
Petaluma FFS,CA_CA_005,120,38.2346,-122.6739,,
Point Arena FFS,CA_CA_005,120,38.9189,-123.6954,,
Point Reyes County Station,CA_CA_005,120,38.0681,-122.8079,,
Presidio Fire Station,CA_CA_005,120,37.8011,-122.4562,,
Red Bluff FFS,CA_CA_005,120,40.186,-122.19,,
Sac River Llano Seco,CA_CA_005,120,39.5851,-121.9351,,
Sacramento NWRC HQ,CA_CA_005,120,39.4305,-122.1844,,
Saint Helena FFS,CA_CA_005,120,38.5133,-122.5086,,
Salt Creek CC,CA_CA_005,120,39.8067,-122.6345,,
Santa Rosa FFS,CA_CA_005,120,38.438,-122.7509,,
Sea Ranch FFS,CA_CA_005,120,38.6982,-123.4242,,
SFB HQ  NPS,CA_CA_005,120,37.5178,-122.0702,,
Soda Creek FS,CA_CA_005,120,39.42557,-122.9779,,
Spanish Flatt FFS,CA_CA_005,120,38.5395,-122.2324,,
Stone Lake NWR,CA_CA_005,120,38.3723,-121.4897,,
Stonyford FS,CA_CA_005,120,39.38136,-122.5446,,
Sunol FFS,CA_CA_005,120,37.5995,-122.8869,,
Sunshine FFS,CA_CA_005,120,37.9034,-121.8679,,
Throck-Morton - Marin Co,CA_CA_005,120,37.8873,-122.5712,,
