dispatch_logic_name,break_point_1,break_point_2,break_point_3,break_point_4
EA_MO_001Mark Twain,14,24,34,45
EA_MO_001Mark Twain,14,24,34,45
EA_MO_001Mark Twain,14,24,34,45
EA_MO_001Mark Twain,14,24,34,45
EA_MO_001Mark Twain,14,24,34,45
EA_MO_001Mark Twain,14,24,34,45
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_NH_001FPU16 General Logic,3,16,32,0
EA_WV_001MOF_all,8,18,37,47
EA_WV_001MOF_limited Eq use,8,18,37,47
EA_WV_001MOF_wilderness_CRV,8,18,37,47
EA_WV_001MOF_wilderness_CRV,8,18,37,47
EA_WV_001MOF_wilderness_CRV,8,18,37,47
EA_WV_001NPS all,8,18,37,47
EA_WV_001NPS all,8,18,37,47
EA_WV_001NPS all,8,18,37,47
EA_WV_001NPS all,8,18,37,47
EA_WV_001NPS all,8,18,37,47
EA_WV_001NPS all,8,18,37,47
EA_WV_001NPS all,8,18,37,47
NW_WA_004TBR Dispatch,20,45,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF Roaded,7,27,0,0
NW_WA_004COF WILD/Roadless,7,27,0,0
NW_WA_004COF WILD/Roadless,7,27,0,0
NW_WA_004COF WILD/Roadless,7,27,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002Limited Access,4,13,0,0
CA_CA_002LVNP Wilderness,4,13,0,0
CA_CA_002LVNP General Forest,4,13,0,0
CA_CA_002LVNP General Forest,4,13,0,0
CA_CA_002LVNP General Forest,4,13,0,0
CA_CA_002LVNP General Forest,4,13,0,0
CA_CA_002LVNP General Forest,4,13,0,0
CA_CA_002LVNP General Forest,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002High Wilderness,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
CA_CA_002General Forest/Range,4,13,0,0
