dispatch_logic_name,index,number_of_levels
AK_AK_001Alaska Aerial Only,BI,5
AK_AK_001Alaska Southeast,BI,5
AK_AK_001Alaska Standard,BI,5
CA_CA_001KNFWild,BI,3
CA_CA_001KNFnotWild,BI,3
CA_CA_001Other sensitive,BI,3
CA_CA_001RWPALL,BI,3
CA_CA_001SRFGen,BI,3
CA_CA_001SRFWUI_HIA_YIA,BI,3
CA_CA_001SRFWild,BI,3
CA_CA_001WUI,BI,3
CA_CA_001Wilderness,BI,3
CA_CA_002General Forest/Range,ROS,3
CA_CA_002High Wilderness,ROS,3
CA_CA_002LVNP General Forest,ROS,3
CA_CA_002LVNP Wilderness,ROS,3
CA_CA_002Limited Access,ROS,3
CA_CA_003General suppression,BI,3
CA_CA_003High resource values,BI,3
CA_CA_003SW Wilderness,BI,3
CA_CA_003Wilderness,BI,3
CA_CA_004NPS WUI,BI,3
CA_CA_004Non DPA,BI,3
CA_CA_004USFS,BI,3
CA_CA_004Wilderness,BI,3
CA_CA_005Bay Area Parks,BI,3
CA_CA_005CA-CA-05,BI,3
CA_CA_005Wilderness,BI,3
CA_CA_006.blm_wui,BI,3
CA_CA_006.enf_urban1,BI,3
CA_CA_006.enf_wild,BI,3
CA_CA_006.tmu_wilderness,BI,3
CA_CA_006.tmu_wui,BI,3
CA_CA_006.tnf_supp,BI,3
CA_CA_006.tnf_wilderness,BI,3
CA_CA_007High Elev NonWild,ROS,3
CA_CA_007Other,ROS,3
CA_CA_007WUI,ROS,3
CA_CA_007Wilderness,ROS,3
CA_CA_008General _Timber,ROS,3
CA_CA_008General_Grass/Shrub,ROS,3
CA_CA_008General_Kaweah,ROS,3
CA_CA_008WUI_Grass/Shrub,ROS,3
CA_CA_008WUI_Lake_I_Threat,ROS,3
CA_CA_008WUI_Timber,ROS,3
CA_CA_008Wilderness_Grass/Shr,ROS,3
CA_CA_008Wilderness_Timber,ROS,3
CA_CA_009OVICC 4,BI,4
CA_CA_010BLM West Valley,BI,4
CA_CA_010Island,BI,3
CA_CA_010WUI,BI,3
CA_CA_010Wilderness,BI,3
CA_CA_011Other,BI,3
CA_CA_011WUI,BI,3
CA_CA_011Wilderness,BI,3
CA_CA_012ANF Mutual Aid Resp,BI,3
CA_CA_012ANF Response Wilder,BI,3
CA_CA_012Standard ANF Resp,BI,3
CA_CA_013Engine,BI,3
CA_CA_013Handcrew,BI,3
CA_CA_014BDF Suppression FMU,BI,3
CA_CA_014BDF Threat FMU,BI,3
CA_CA_014BDF Wilderness FMU,BI,3
