dispatch_logic_name,break_point,large_airtanker,hand_crew,dozer,engines,air_boat,fire_boat,helicopter,helitack_crew,scooper_or_seat,smoke_jumper_aircraft,smoke_jumper,tractor_plow,water_tender
EA_MO_001Mark Twain,1,,1,0,1,,,,,,,,0,
EA_NH_001FPU16 General Logic,1,,0,,2,,,,,,,,,0
EA_WV_001MOF_all,1,,4,1,4,,,,1,,,,,
EA_WV_001MOF_limited Eq use,1,,4,,4,,,,1,,,,,
EA_WV_001MOF_wilderness_CRV,1,,4,,2,,,,1,,,,,
EA_WV_001NPS all,1,,6,,6,,,,1,,,,,
NW_WA_004TBR Dispatch,1,,,,2,,,,,,,,,
NW_WA_004COF Roaded,1,,1,,2,,,,,1,,,,
NW_WA_004COF WILD/Roadless,1,,1,,1,,,,,,,,,
CA_CA_002Limited Access,1,0,0,0,2,0,0,1,1,0,1,2,0,0
CA_CA_002LVNP Wilderness,1,0,0,0,2,0,0,1,1,0,0,0,0,0
CA_CA_002LVNP General Forest,1,0,0,0,2,0,0,1,1,0,0,0,0,0
CA_CA_002High Wilderness,1,0,0,0,2,0,0,1,1,0,1,2,0,0
CA_CA_002General Forest/Range,1,0,0,0,2,0,0,1,1,0,0,0,0,0
CA_CA_007High Elev NonWild,1,0,1,0,1,0,0,0,1,0,0,,,0
CA_CA_007Other,1,0,1,0,2,0,0,0,1,0,0,,,0
CA_CA_007Wilderness,1,0,1,0,0,0,0,0,1,0,0,,,0
CA_CA_007WUI,1,1,1,0,2,0,0,0,1,0,0,,,0
CA_CA_015CA FPU 15 WUI,1,1,2,1,10,0,0,1,1,2,0,0,0,2
CA_CA_011WUI,1,3,,1,2,,,1,1,1,,,,1
CA_CA_011Other,1,1,,,2,,,1,1,1,0,0,,1
CA_CA_011Wilderness,1,1,,,2,,,1,1,0,0,0,,1
NW_OR_001Siuslaw North,1,,,,2,,,,,,,,,
NW_OR_001Siuslaw South,1,,,,2,,,,,,,,,
NW_OR_001Forest Access 2,1,,2,,1,,,,,,0,0,,
NW_OR_001Wilderness 2,1,,2,,1,,,,,,1,4,,
NW_OR_001Northwest 2,1,,,,3,,,,,,,,,
NW_OR_001Southwest 2,1,,,,3,,,,,,,,,
NW_OR_004Wild Study Area,1,,,0,1,,,,,,,,,
NW_OR_004WS WUI,1,,,,2,,,,,,,,,
NW_OR_004WS Timber,1,,,,2,,,,,,,,,
NW_OR_004General Forest,1,,1,,3,,,,,,,,,
NW_OR_004WUI,1,,,,1,,,,,,,,,
NW_OR_004Juniper Sage,1,,,,1,,,,,,,,,
NW_OR_004Wilderness,1,,1,,1,,,,,,,,,
NW_OR_004WS ConditionUse,1,,,,1,,,,,,,,,
NW_OR_005H1-SP,1,,1,,1,,,,,,,,,
NW_OR_005P1/P2,1,,1,,2,,,1,1,,,,,
NW_OR_005NF-1/NF-1SP,1,,2,,1,,,,,,,,,
NW_OR_005WW-1,1,,1,,1,,,1,1,,1,2,,
NW_OR_005WildernessUMF,1,,2,,1,,,,,,,,,
NW_OR_005PDT-1,1,,1,,3,,,,,,,,,1
NW_OR_005Mission WUI,1,,,,3,,,,,,,,,
NW_OR_005WW2/2A,1,,2,,3,,,,,,,,,1
NW_OR_006base2,1,,,,2,,,,,,,,,
NW_OR_006brown,1,,,,2,,,,,,,,,
NW_OR_006OE SMA,1,,,,2,,,,,,,,,
NW_OR_006base,1,,,,2,,,,,,,,,
NW_OR_006Ironside,1,,,,2,,,,,,,,,
NW_OR_007Silver,1,,,,1,,,,,1,,,,
NW_OR_007Alvord North,1,,,,1,,,,,,,,,
NW_OR_007Diamond,1,,,,2,,,1,1,1,,,,
NW_OR_007Guano,1,,,,1,,,,,1,,,,
NW_OR_007Thousand/Virgin,1,,,,1,,,,,1,,,,
NW_OR_007Upper Malheur,1,,,,1,,,,,1,,,,
NW_OR_007Home Creek,1,,1,,1,,,2,1,,1,1,,
NW_OR_007Lakes,1,,,,1,,,,,,,,,
NW_OR_007Silvies,1,,,,1,,,1,1,,,,,
NW_OR_007Snow Mountian North,1,,,,1,,,2,1,,1,1,,
NW_OR_007Snow Mountain South,1,,,,1,,,1,1,,,,,
NW_OR_007Steens,1,,1,,1,,,2,1,1,1,1,,
NW_OR_008Desert,1,0,1,0,1,,,0,0,0,0,0,,1
NW_OR_008Timber Special,1,0,1,0,2,,,0,0,0,0,0,,1
NW_OR_008Timber,1,0,1,0,2,,,0,0,0,0,0,,1
NW_OR_008Timber West,1,0,1,0,2,,,0,0,0,0,0,,0
NW_OR_008State and Private,1,0,1,1,2,,,1,1,0,0,0,,1
CA_CA_005CA-CA-05,1,,,,2,,,,,,0,0,,
CA_CA_005Bay Area Parks,1,,,,1,,,,,,0,0,,1
CA_CA_005Wilderness,1,,,,1,,,,,,1,1,,1
CA_CA_003Wilderness,1,,,,1,,,,,,,,,
CA_CA_003General suppression,1,,,,2,,,,,,,,,
CA_CA_003High resource values,1,,1,,2,,,,,,,,,
CA_CA_003SW Wilderness,1,,0,,1,,,1,1,,1,2,,
CA_CA_001KNFnotWild,1,1,1,1,4,,,1,1,,1,2,,2
CA_CA_001KNFWild,1,1,1,0,2,,,1,1,,1,4,,0
CA_CA_001Other sensitive,1,,1,,1,,,1,1,,,,,0
CA_CA_001Wilderness,1,,1,,0,,,3,1,,,,,0
CA_CA_001SRFWild,1,,1,,1,,,1,1,,1,4,,
CA_CA_001WUI,1,1,1,1,1,,,3,1,,,,,1
CA_CA_001SRFWUI_HIA_YIA,1,,1,,1,,,1,1,,,,,1
CA_CA_001SRFGen,1,,1,,1,,,1,1,,,,,1
CA_CA_001RWPALL,1,,0,,1,,,0,0,,,,,0
NW_OR_009Block Card B-14,1,,1,,1,,,,,,,,,
NW_OR_009Block Card B-5,1,,1,,2,,,,,,,,,
NW_OR_009Block Card W-1,1,,1,,2,,,,,,,,,
NW_OR_009Block Card W-2,1,,0,,2,,,,,,,,,
NW_OR_009Block Card B-3,1,,1,,2,,,,,,,,,
NW_OR_009State,1,,1,,2,,,,,,,,,
NW_OR_009Block Card L-7,1,,0,,2,,,,,,,,,
NW_OR_009Block Card L-6,1,,0,,2,,,,,,,,,
NW_OR_009Block Card B-16,1,,1,,1,,,0,0,,,,,
NW_OR_009FMU - Eagle Cap,1,,1,,0,,,2,1,,,,,
NW_OR_009Block Card B-10,1,,1,,3,,,0,0,,,,,
NW_OR_009Block Card W-17,1,,0,,1,,,2,1,,,,,
NW_OR_009Block Card B-7,1,,1,,2,,,,,,,,,
NW_OR_009Block Card W-7,1,,0,,1,,,2,1,,,,,
NW_OR_009Block Card W-9,1,,0,,1,,,2,1,,,,,
NW_OR_009Block Card W-10,1,,1,,0,,,1,1,,,,,
NW_OR_009Block Card W-18,1,,0,,1,,,2,1,,,,,
NW_OR_009Block Card B-11,1,,1,,2,,,,,,,,,
NW_OR_009Block Card L-5,1,,0,,2,,,,,,,,,
NW_OR_010Wilderness,1,,1,,,,,2,1,,,,,
NW_OR_010General Forest,1,,1,,1,,,,,,,,,
NW_OR_011WUI type,1,,1,2,3,,,,,,,,,1
NW_OR_011general forest type,1,,0,1,1,,,,,,,,,0
NW_WA_001San Juan NW001,1,,1,,1,,,,,,,,,1
NW_WA_001Lewis NW001,1,,,,1,,,,,,,,,1
NW_WA_001Olympic Crew NW001,1,,1,,2,,,0,0,,0,0,,0
NW_WA_001Standard NW001,1,,0,,2,,,,0,0,0,0,,0
NW_WA_002NZ SZ Protection,1,,1,,2,,,,,,,,,
NW_WA_002NZ GF Revision 1,1,,0,,1,,,,,,0,0,,
NW_WA_002SZ Wild Rev 1,1,,1,,0,,,2,1,,1,1,,
NW_WA_002NZ SZ Protect Rev 1,1,,0,,1,,,,,,,,,
NW_WA_002NZ Wild Rev 1,1,,1,,0,,,1,1,,1,2,,
NW_WA_002SZ GF Revision 1,1,,0,,1,,,2,1,,0,0,,
NW_WA_003Non-Wilderness,1,,2,0,2,,,,0,,,,,1
NW_WA_003ROLA Wilderness,1,0,0,,,,,2,1,,1,2,,
NW_WA_003WEN-Wilderness,1,0,1,,,,,2,1,,,,,
NW_WA_003OKA-Wilderness,1,0,1,,,,,0,1,,1,2,,
NW_WA_003Ste-Suppression,1,,2,0,0,,,,0,,,,,0
NW_WA_003RED Zone,1,1,0,,,,,2,1,,1,2,,
NW_WA_007MHF_Wilderness S,1,,2,,0,,,0,0,,0,0,,
NW_WA_007MHF_Wilderness,1,0,2,,0,,,,,,0,0,,
NW_WA_007MHF_Unit 4,1,,1,,1,,,,0,,,,,0
NW_WA_007GP_CV_North,1,,1,,1,,,,,,0,0,,0
NW_WA_007MHF_Unit 1,1,,1,,1,,,,,,,,,0
NW_WA_007MHF_Unit 2,1,0,1,0,1,,,0,0,,0,0,,0
NW_WA_007MHF_Unit 3,1,1,2,,2,,,,0,,,,,1
NW_WA_007Gorge East,1,,0,,2,,,,0,,,,,1
NW_WA_007MHF_Wilderness E,1,0,2,,0,,,,,,0,0,,
NW_WA_007GP_MTA_East,1,,1,,1,,,,,,,,,0
NW_WA_007YAA-SP,1,1,1,1,2,,,,,,,,,1
NW_WA_007YAA-MC,1,1,1,1,2,,,,,,,,,1
NW_WA_007YAA-HB,1,,1,1,1,,,,,,,,,1
NW_WA_007GP_MSH_West,1,,1,,1,,,,,,,,,
NW_WA_007GP_Wilderness,1,,2,,0,,,,0,,0,0,,
SA_AL_001BH_Primary,1,,,1,1,,,,,,,,,
SA_AL_001LIRI Canyon,1,,1,0,1,,,,,,,,,
SA_AL_001Talladega_FWA,1,,1,0,0,,,,,,,,,
SA_AL_001Dugger_Wild,1,,0,0,0,,,,,,,,,
SA_AL_001HOBE,1,,1,0,1,,,,,,,,,
SA_AL_001FWS,1,,0,1,1,,,,,,,,,
SA_AL_001RUCA,1,,0,0,1,,,,,,,,,
SA_AL_001Sipsey FWA,1,,,,0,,,,,,,,,
SA_AL_001CON_Primary,1,,1,1,0,,,,,,,,,
SA_AL_001Cheaha_Wild,1,,1,0,0,,,,,,,,,
SA_AL_001SC_FWA,1,,0,0,1,,,,,,,,,
SA_AL_001LIRI Upland,1,,0,0,1,,,,,,,,,
SA_AL_001Tuskegee_FWA,1,,,0,0,,,,,,,,,
SA_AL_001Oakmulgee_FWA,1,,0,1,1,,,,,,,,,
SW_AZ_001SCA EE,1,0,0,1,2,,,1,1,0,,,,0
SW_AZ_001SCA Sonora,1,1,1,1,2,,,0,,,,,,1
"SW_AZ_001NPS_SAP > 4,500'",1,,1,,,,,1,1,1,,,,
SW_AZ_001Low Potential,1,0,1,,1,,,,,,,,,1
SW_AZ_001Moderate Potential,1,0,1,0,2,,,1,1,0,,,,1
SW_AZ_001High Potential,1,0,1,0,2,,,1,1,0,,,,1
SW_AZ_001SCA WUI,1,0,1,,3,,,0,,,,,,0
RM_SD_002Mark Browning,1,,1,,4,,,,,,,,,1
RM_WY_002Esterbrook,1,,,,1,,,,,,,,,
RM_WY_002High Desert District,1,,,,1,,,1,1,,,,,
RM_WY_002Eastern Counties,1,,,,1,,,1,1,,,,,
RM_WY_002MBF_Snowy,1,,,,1,,,,,,,,,
RM_WY_002North Counties,1,,1,,4,,,1,1,,,,,
RM_WY_002North Casper,1,,1,,1,,,1,1,,,,,
NW_OR_003Wilderness,1,,2,,2,,,1,1,,2,4,,
NW_OR_003FS Protection,1,,1,0,2,,,,,,0,,,0
NW_OR_003ODF Protection,1,0,0,0,2,0,0,0,0,0,0,0,0,0
NW_OR_003Private/WUI,1,,1,0,3,,,0,,,,,,0
CA_CA_014BDF Wilderness FMU,1,,1,,4,,,1,1,,,,,
CA_CA_014BIA Suppression FMU,1,,,,1,,,,,,,,,
CA_CA_014BDF Suppression FMU,1,,,,1,,,,,,,,,
CA_CA_014BLM CDD FMU's,1,,,,1,,,,,,,,,
CA_CA_014BDF Threat FMU,1,,,,1,,,,,,,,,
CA_CA_009OVICC 4,1,0,1,,3,,,2,1,1,,,,1
CA_CA_004NPS WUI,1,0,0,0,2,0,0,0,0,0,0,0,0,0
CA_CA_004Wilderness,1,0,0,0,1,0,0,1,1,0,1,2,0,0
CA_CA_004Non DPA,1,0,1,0,4,0,0,0,0,0,0,0,0,1
