name,fpu,walk_in_percent,pump_and_roll_percent,head_attack,tail_attack,parallel_attack,attack_distance,water_drops_allowed,exclude_from_irs,discovery_size,escape_limit_time,escape_limit_size,air_to_ground_coefficient,initial_delay,DISPATCH_LOGIC_ID,dispatch_logic_name
EA_MO_001FMG_Unassigned_South          Unassigned_South,EA_MO_001,0,0,100,0,0,0,y,y,0.001,1080,A300,1.6,0,,EA_MO_001
EA_MO_001FMG_Big Rivers                Big Rivers,EA_MO_001,25,25,100,0,0,0,y,n,0.5,1080,A300,1.6,0,64135204,EA_MO_001Mark Twain
EA_MO_001FMG_Southwest                 Southwest Ozarks,EA_MO_001,25,25,100,0,0,0,y,n,5,1080,A300,1.6,0,64135204,EA_MO_001Mark Twain
EA_MO_001FMG_Southeast                 Southeast Ozarks,EA_MO_001,25,25,100,0,0,0,y,n,0.5,1080,A300,1.6,0,64135204,EA_MO_001Mark Twain
EA_MO_001FMG_Unassigned_North          Unassigned_North,EA_MO_001,75,10,100,0,0,0,y,y,0.5,1080,A300,1.6,0,64135204,EA_MO_001Mark Twain
EA_MO_001FMG_Northern                  Northern Ozarks,EA_MO_001,25,25,100,0,0,0,y,n,0.5,1080,A300,1.6,0,64135204,EA_MO_001Mark Twain
EA_MO_001FMG_Wilderness                Wilderness,EA_MO_001,75,25,100,0,0,0,y,n,0.5,1080,A300,1.6,0,64135204,EA_MO_001Mark Twain
EA_NH_001Unassigned_5                  Unassigned,EA_NH_001,0,0,100,0,0,0,y,y,0.001,1080,A100,1.6,0,,EA_NH_001
EA_NH_001Unassigned_7                  Unassigned,EA_NH_001,0,0,100,0,0,0,y,y,0.001,1080,A100,1.6,0,,EA_NH_001
EA_NH_001Unassigned_3                  Unassigned,EA_NH_001,0,0,100,0,0,0,y,y,0.001,1080,A100,1.6,0,,EA_NH_001
EA_NH_001Unassigned_4                  Unassigned,EA_NH_001,0,0,100,0,0,0,y,y,0.001,1080,A100,1.6,0,,EA_NH_001
EA_NH_001Unassigned_6                  Unassigned,EA_NH_001,0,0,100,0,0,0,y,y,0.001,1080,A100,1.6,0,,EA_NH_001
EA_NH_001Unassigned_2                  Unassigned,EA_NH_001,0,0,100,0,0,0,y,y,0.001,1080,A100,1.6,0,,EA_NH_001
EA_NH_001Water                         Water,EA_NH_001,0,0,100,0,0,0,y,y,0.001,1080,A100,1.6,0,,EA_NH_001
EA_NH_001Western_NewYork               Iriquois,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001SouthernNY_WesternConn        Hudson,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001WesternMaine_NewHampshire     Carson,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001SouthernNY_WesternConn        Long_Island,EA_NH_001,100,0,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001Unassigned_1                  Unassigned,EA_NH_001,25,20,100,0,0,0,y,y,0.1,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001Southeast_NewEngland          Eastern_Conn,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001DowneastMaine                 Acadia,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001DowneastMaine                 Moosehorn,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001EasternNY_GreenMountains      Green_Mt,EA_NH_001,40,10,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001Southeast_NewEngland          Boston,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001Southeast_NewEngland          Cape,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001EasternNY_GreenMountains      St_Regis_Mohawk,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001Southeast_NewEngland          Rhode_Island,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001WesternMaine_NewHampshire     White_Mt,EA_NH_001,40,10,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001NorthernMaine                 Sunkhaze,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001NorthernMaine                 Aroostook,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001Southeast_NewEngland          Assabet,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001SouthernNY_WesternConn        Western_Conn,EA_NH_001,25,20,100,0,0,0,y,y,0.1,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_NH_001Western_NewYork               Finger_Lakes,EA_NH_001,25,20,100,0,0,0,y,n,0.001,720,A100,1.6,0,64136169,EA_NH_001FPU16 General Logic
EA_WV_001MOF_GENERAL                   GENERAL,EA_WV_001,25,0,100,0,0,0,y,n,0.1,1080,A300,1.8,0,64138303,EA_WV_001MOF_all
EA_WV_001MOF_GENERAL                   LIMITED EQUIP USE,EA_WV_001,50,0,100,0,0,0,y,n,0.1,1080,A300,2,0,64138304,EA_WV_001MOF_limited Eq use
EA_WV_001MOF_WILDERNESS                DOLLY SODS UXO,EA_WV_001,95,0,100,0,0,0,y,n,0.1,1080,A300,2,0,64138305,EA_WV_001MOF_wilderness_CRV
EA_WV_001MOF_WILDERNESS                WILDERNESS AREAS,EA_WV_001,95,0,100,0,0,0,n,n,0.5,1080,A300,2,0,64138305,EA_WV_001MOF_wilderness_CRV
EA_WV_001CVNWR                         CVNWR,EA_WV_001,50,0,100,0,0,0,y,n,0.1,1080,A300,1.8,0,64138305,EA_WV_001MOF_wilderness_CRV
EA_WV_001Unassigned                    Unassigned,EA_WV_001,60,0,100,0,0,0,y,y,0.1,24,A300,1.8,0,64138306,EA_WV_001NPS all
EA_WV_001WV_NRG                        BLUESTONE,EA_WV_001,0,0,100,0,0,0,y,n,0.1,1080,A300,1.6,0,64138306,EA_WV_001NPS all
EA_WV_001WV_NRG                        GAULEY,EA_WV_001,0,0,100,0,0,0,y,n,0.1,1080,A300,1.6,0,64138306,EA_WV_001NPS all
EA_WV_001WV_NRG                        GAULEY_NPS,EA_WV_001,50,0,100,0,0,0,y,n,0.1,1080,A300,1.8,0,64138306,EA_WV_001NPS all
EA_WV_001WV_NRG                        NEWRIVERGORGE_NPS,EA_WV_001,50,25,100,0,0,0,y,n,0.1,1080,A300,1.8,0,64138306,EA_WV_001NPS all
EA_WV_001WV_NRG                        BLUESTONE_NPS,EA_WV_001,50,0,100,0,0,0,y,n,0.1,1080,A300,1.8,0,64138306,EA_WV_001NPS all
EA_WV_001WV_NRG                        NEWRIVERGORGE,EA_WV_001,0,50,100,0,0,0,y,n,0.1,1080,A300,1.6,0,64138306,EA_WV_001NPS all
NW_WA_004Turnbull                      Turnbull,NW_WA_004,40,10,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181762,NW_WA_004TBR Dispatch
NW_WA_004Huckleberry                   Huckleberry,NW_WA_004,25,10,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004Newport                       Newport,NW_WA_004,58,15,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004SelkirkSouth                  SelkirkSouth,NW_WA_004,40,15,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004LPO                           LPO,NW_WA_004,44,10,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004Caribou                       Caribou,NW_WA_004,55,0,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004SelkirkNorth                  SelkirkNorth,NW_WA_004,45,10,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004CentralFlats                  CentralFlats,NW_WA_004,22,20,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004Chewelah                      Chewelah,NW_WA_004,55,10,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004KettleRange                   KettleRange,NW_WA_004,92,10,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004Westend                       Westend,NW_WA_004,13,20,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004Curlew                        Curlew,NW_WA_004,88,10,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004Republic                      Republic,NW_WA_004,60,10,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004ColumbiaNorth                 ColumbiaNorth,NW_WA_004,66,10,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004Ione                          Ione,NW_WA_004,40,10,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004Other                         Other,NW_WA_004,50,0,100,0,0,0,y,y,0.01,1080,A300,1.6,0,64181763,NW_WA_004COF Roaded
NW_WA_004Abercrombie/Sullivan          Abercrombie/Sullivan,NW_WA_004,100,0,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181764,NW_WA_004COF WILD/Roadless
NW_WA_004KettleCrest/13Mile            KettleCrest/13Mile,NW_WA_004,100,0,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181764,NW_WA_004COF WILD/Roadless
NW_WA_004Salmo-Priest                  Salmo-Priest,NW_WA_004,100,0,100,0,0,0,y,n,0.01,1080,A300,1.6,0,64181764,NW_WA_004COF WILD/Roadless
CA_CA_002PNF_South_Middle_Fork         PNF_South_Middle_For,CA_CA_002,70,0,100,0,0,0,y,n,0.001,1080,A300,1.2,0,64189043,CA_CA_002Limited Access
CA_CA_002PNF_Feather_River_Cyn         PNF_Feather_River_C2,CA_CA_002,50,0,100,0,0,0,y,n,0.001,1080,A300,1.2,0,64189043,CA_CA_002Limited Access
CA_CA_002LNF_Westside_OFE_South        LNF_Westside_OFE_Sou,CA_CA_002,20,0,100,0,0,0,y,n,0.001,1080,A300,1.2,0,64189043,CA_CA_002Limited Access
CA_CA_002PNF_High_Elevation            PNF_High_Elevation_1,CA_CA_002,25,0,100,0,0,0,y,n,0.001,1080,A300,1.2,0,64189043,CA_CA_002Limited Access
