name,tracked_resource,boat,crew,engine,helitack,smoke_jumper
EA_MO_001FMG_Southeast                 Southeast Ozarks,10,,10,10,30,
EA_MO_001FMG_Southwest                 Southwest Ozarks,10,,10,10,30,
EA_MO_001FMG_Wilderness                Wilderness,10,,10,10,30,
EA_MO_001FMG_Unassigned_South          Unassigned_South,15,,15,15,60,
EA_MO_001FMG_Northern                  Northern Ozarks,10,,10,10,30,
EA_MO_001FMG_Big Rivers                Big Rivers,10,,10,10,30,
EA_MO_001FMG_Unassigned_North          Unassigned_North,15,,15,15,60,
EA_NH_001EasternNY_GreenMountains      St_Regis_Mohawk,20,,20,30,,
EA_NH_001EasternNY_GreenMountains      Green_Mt,20,,20,30,,
EA_NH_001DowneastMaine                 Moosehorn,20,,20,30,,
EA_NH_001DowneastMaine                 Acadia,20,,20,30,,
EA_NH_001Western_NewYork               Iriquois,20,,20,30,,
EA_NH_001Western_NewYork               Finger_Lakes,20,,20,30,,
EA_NH_001WesternMaine_NewHampshire     Carson,20,,20,30,,
EA_NH_001WesternMaine_NewHampshire     White_Mt,20,,20,30,,
EA_NH_001Water                         Water,,,,,,
EA_NH_001Unassigned_7                  Unassigned,,,,,,
EA_NH_001Unassigned_6                  Unassigned,,,,,,
EA_NH_001Unassigned_5                  Unassigned,,,,,,
EA_NH_001Unassigned_4                  Unassigned,,,,,,
EA_NH_001Unassigned_3                  Unassigned,,,,,,
EA_NH_001Unassigned_2                  Unassigned,,,,,,
EA_NH_001Unassigned_1                  Unassigned,20,,20,30,,
EA_NH_001SouthernNY_WesternConn        Western_Conn,20,,20,30,,
EA_NH_001SouthernNY_WesternConn        Long_Island,20,,20,30,,
EA_NH_001SouthernNY_WesternConn        Hudson,20,,20,30,,
EA_NH_001Southeast_NewEngland          Eastern_Conn,20,,20,30,,
EA_NH_001Southeast_NewEngland          Rhode_Island,20,,20,30,,
EA_NH_001Southeast_NewEngland          Boston,20,,20,30,,
EA_NH_001Southeast_NewEngland          Assabet,20,,20,30,,
EA_NH_001Southeast_NewEngland          Cape,20,,20,30,,
EA_NH_001NorthernMaine                 Sunkhaze,20,,20,30,,
EA_NH_001NorthernMaine                 Aroostook,20,,20,30,,
EA_WV_001MOF_WILDERNESS                WILDERNESS AREAS,,,60,60,,
EA_WV_001WV_NRG                        NEWRIVERGORGE_NPS,,,15,15,,
EA_WV_001WV_NRG                        NEWRIVERGORGE,,,5,5,,
EA_WV_001MOF_GENERAL                   LIMITED EQUIP USE,,,15,15,,
EA_WV_001MOF_GENERAL                   GENERAL,30,,15,15,,
EA_WV_001WV_NRG                        GAULEY_NPS,,,15,15,,
EA_WV_001WV_NRG                        GAULEY,,,5,5,,
EA_WV_001WV_NRG                        BLUESTONE_NPS,,,15,15,,
EA_WV_001MOF_WILDERNESS                DOLLY SODS UXO,,,60,60,,
EA_WV_001CVNWR                         CVNWR,,,30,30,,
