changes,resource name,resource type,staffing,shift start time,shift end time,start day,end day,season start day,season end day,dipatch location,% avail,daily cost,hourly cost,water volume (gal),severity resource,full time employees (FTE),number of positions,annual costs,vehicle costs,fpu,fixed location,borrowable,agency,If HELI attached Helicopter,Question/Comments
,AKD FBK Crew #1,CRW,5,900,1800,2,6,121,273,AFS at Ft Wainwright Helibase,100,0,0,0,n,2.5,5,200000,0,AK_AK_001,0,1,BLM,,
,AKD FBK Crew #2,CRW,5,900,1800,2,6,121,273,AFS at Ft Wainwright Helibase,100,0,0,0,n,2.5,5,200000,0,AK_AK_001,0,1,BLM,,
,AKD FBK Crew #3,CRW,5,900,1800,2,6,121,273,AFS at Ft Wainwright Helibase,100,0,0,0,n,2.5,5,200000,0,AK_AK_001,0,1,BLM,,
,AKD FBK Crew#4X,CRW,5,900,1800,2,6,121,273,AFS at Ft Wainwright Helibase,100,0,0,0,n,2.5,5,200000,0,AK_AK_001,0,1,BLM,,
,AKD FBK Crew#5X,CRW,5,900,1800,2,6,121,273,AFS at Ft Wainwright Helibase,100,0,0,0,n,2.5,5,200000,0,AK_AK_001,0,1,BLM,,
,AKD FBK SCP #1,SCP,1,800,2200,1,7,143,236,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,BLM,,
,AKD FBK SCP #2,SCP,1,800,2200,1,7,142,221,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,0,0,0,0,AK_AK_001,0,1,BLM,,
,FBK SJAC P#1,SJAC,2,800,2200,1,7,130,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SJAC P#2,SJAC,2,800,2200,1,7,93,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SJAC P#3,SJAC,2,800,2200,1,7,113,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
,FBK SJAC P#4,SJAC,2,800,2200,1,7,127,273,AFS at Ft Wainwright SMJ + A/T,100,0,0,0,n,1,2,80000,0,AK_AK_001,0,1,BLM,,
